species,diagnosis,toxin
bacterA,carc.intestine,1.735
bacterA,carc.intestine,2.076
bacterA,carc.intestine,1.648
bacterA,carc.intestine,1.907
bacterA,carc.intestine,2.159
bacterB,carc.intestine,1.323
bacterB,carc.intestine,1.44
bacterB,carc.intestine,1.487
bacterB,carc.intestine,1.432
bacterB,carc.intestine,1.294
bacterC,carc.intestine,1.303
bacterC,carc.intestine,1.414
bacterC,carc.intestine,1.43
bacterC,carc.intestine,1.639
bacterC,carc.intestine,1.358
bacterD,carc.intestine,1.957
bacterD,carc.intestine,1.864
bacterD,carc.intestine,1.787
bacterD,carc.intestine,1.945
bacterD,carc.intestine,1.93
bacterA,carc.rectum,1.767
bacterA,carc.rectum,1.976
bacterA,carc.rectum,1.773
bacterA,carc.rectum,1.792
bacterA,carc.rectum,1.949
bacterB,carc.rectum,1.474
bacterB,carc.rectum,1.491
bacterB,carc.rectum,1.515
bacterB,carc.rectum,1.255
bacterB,carc.rectum,1.526
bacterC,carc.rectum,1.538
bacterC,carc.rectum,1.324
bacterC,carc.rectum,1.55
bacterC,carc.rectum,1.203
bacterC,carc.rectum,1.175
bacterD,carc.rectum,1.895
bacterD,carc.rectum,1.949
bacterD,carc.rectum,2.109
bacterD,carc.rectum,1.933
bacterD,carc.rectum,1.965
bacterA,skin.absces,1.203
bacterA,skin.absces,1.128
bacterA,skin.absces,1.257
bacterA,skin.absces,1.205
bacterA,skin.absces,1.044
bacterB,skin.absces,0.997
bacterB,skin.absces,1.101
bacterB,skin.absces,1.193
bacterB,skin.absces,1.062
bacterB,skin.absces,1.094
bacterC,skin.absces,0.958
bacterC,skin.absces,1.006
bacterC,skin.absces,1.183
bacterC,skin.absces,0.998
bacterC,skin.absces,1.294
bacterD,skin.absces,0.931
bacterD,skin.absces,1.129
bacterD,skin.absces,1.141
bacterD,skin.absces,0.978
bacterD,skin.absces,1.111
bacterA,apendicitis,1.282
bacterA,apendicitis,0.886
bacterA,apendicitis,1.207
bacterA,apendicitis,1.21
bacterA,apendicitis,1.17
bacterB,apendicitis,0.932
bacterB,apendicitis,1.264
bacterB,apendicitis,1.186
bacterB,apendicitis,1.208
bacterB,apendicitis,0.954
bacterC,apendicitis,1.255
bacterC,apendicitis,1.086
bacterC,apendicitis,1.165
bacterC,apendicitis,1.365
bacterC,apendicitis,1.234
bacterD,apendicitis,1.101
bacterD,apendicitis,1.428
bacterD,apendicitis,1.196
bacterD,apendicitis,1.187
bacterD,apendicitis,1.122
